TimeStamp;DeviceType;Exposures;TimeInView;answer
2024020420;phone;18;164;5
2024020504;desktop;10;204;5
2024020512;desktop;4;35;2
2024020613;desktop;38;451;2
2024020621;phone;5;109;1
2024020713;desktop;1;19;2
2024020714;desktop;8;84;2
2024020812;desktop;35;394;3
2024020814;desktop;10;166;1
2024020817;desktop;8;34;2
2024020822;desktop;7;224;1
2024020908;phone;151;1614;1
2024021022;phone;13;288;2
2024021108;tablet;12;169;2
2024021108;phone;16;160;3
2024021213;desktop;6;78;2
2024021223;phone;34;407;2
2024021306;desktop;2;16;3
2024021307;phone;1;13;2
2024021307;phone;2;11;1
2024021307;desktop;9;98;3
2024021307;desktop;5;36;1
2024021307;phone;7;27;3
2024021307;phone;2;15;2
2024021308;desktop;2;7;3
2024021308;tablet;6;67;1
2024021308;phone;3;25;4
2024021308;phone;6;74;2
2024021308;desktop;2;11;1
2024021308;desktop;1;5;3
2024021308;desktop;3;62;3
2024021308;phone;2;7;3
2024021308;phone;1;7;1
2024021308;phone;3;14;1
2024021308;desktop;28;183;2
2024021308;phone;1;2;2
2024021308;phone;3;7;3
2024021308;phone;1;14;2
2024021308;desktop;2;17;1
2024021308;phone;9;36;2
2024021308;phone;1;4;5
2024021308;desktop;1;17;3
2024021308;tablet;3;34;5
2024021308;desktop;4;50;2
2024021308;desktop;1;2;3
2024021308;desktop;7;46;2
2024021308;desktop;11;61;2
2024021308;phone;1;8;5
2024021308;desktop;2;14;3
2024021308;desktop;7;46;2
2024021308;phone;1;27;5
2024021308;desktop;1;33;3
2024021308;phone;1;13;3
2024021308;phone;11;65;3
2024021308;phone;1;5;5
2024021308;phone;4;28;2
2024021309;phone;1;13;2
2024021309;phone;3;18;3
2024021309;phone;14;68;5
2024021309;phone;3;6;3
2024021309;phone;6;19;2
2024021309;phone;1;6;5
2024021309;phone;3;19;3
2024021309;phone;3;6;2
2024021309;desktop;1;2;1
2024021309;desktop;14;153;3
2024021309;desktop;3;17;3
2024021309;desktop;5;21;2
2024021309;desktop;1;17;2
2024021309;phone;4;24;2
2024021309;desktop;1;2;1
2024021309;desktop;2;27;3
2024021309;desktop;17;186;3
2024021309;desktop;5;38;2
2024021309;desktop;7;71;5
2024021309;desktop;7;85;3
2024021309;desktop;5;48;1
2024021309;desktop;5;77;1
2024021309;desktop;2;11;3
2024021309;phone;4;46;2
2024021309;desktop;5;37;3
2024021310;desktop;2;9;5
2024021310;phone;2;4;2
2024021310;phone;5;14;3
2024021310;desktop;5;55;1
2024021310;tablet;2;8;2
2024021310;phone;2;5;5
2024021310;phone;2;14;3
2024021310;desktop;3;52;2
2024021310;desktop;3;15;2
2024021310;desktop;2;20;2
2024021310;desktop;3;52;5
2024021310;desktop;2;17;3
2024021310;desktop;3;42;5
2024021310;phone;3;7;3
2024021311;desktop;3;50;1
2024021311;phone;3;12;5
2024021311;desktop;4;45;2
2024021311;phone;4;8;5
2024021312;phone;4;20;1
2024021312;desktop;5;64;5
2024021313;desktop;5;50;1
2024021313;desktop;4;40;1
2024021313;desktop;4;51;3
2024021314;desktop;5;75;3
2024021314;desktop;5;47;2
2024021314;desktop;5;51;5
2024021314;desktop;4;29;3
2024021315;desktop;4;13;3
2024021315;phone;4;32;3
2024021315;desktop;4;18;2
2024021402;phone;6;43;2
2024021406;phone;24;140;3
2024021407;desktop;1;2;2
2024021408;desktop;22;273;5
2024021408;tablet;11;28;3
2024021408;desktop;8;89;5
2024021408;desktop;6;18;3
2024021408;desktop;14;194;1
2024021408;desktop;5;52;3
2024021408;tablet;11;28;3
2024021408;phone;20;105;1
2024021408;phone;6;24;3
2024021408;desktop;1;4;2
2024021408;desktop;4;14;2
2024021408;phone;12;45;4
2024021408;desktop;3;57;1
2024021408;desktop;2;24;2
2024021408;desktop;18;199;3
2024021408;desktop;42;379;2
2024021408;phone;4;22;5
2024021408;desktop;2;15;5
2024021408;desktop;5;40;1
2024021408;phone;3;35;2
2024021408;desktop;21;291;5
2024021408;phone;4;52;3
2024021408;phone;2;8;2
2024021408;desktop;2;13;5
2024021409;phone;2;14;1
2024021409;desktop;2;7;3
2024021409;desktop;1;4;1
2024021409;desktop;4;53;3
2024021409;phone;1;3;2
2024021409;phone;1;3;3
2024021409;desktop;4;38;2
2024021409;desktop;4;24;3
2024021409;desktop;3;27;5
2024021409;desktop;4;10;4
2024021410;desktop;1;7;1
2024021410;desktop;4;38;2
2024021410;desktop;39;407;2
2024021410;desktop;1;2;1
2024021410;desktop;4;43;3
2024021410;desktop;1;4;3
2024021410;desktop;1;2;5
2024021410;desktop;3;17;1
2024021411;phone;1;4;2
2024021411;desktop;4;55;2
2024021411;desktop;1;7;2
2024021411;desktop;5;70;2
2024021411;desktop;16;164;2
2024021411;desktop;3;19;3
2024021411;desktop;4;32;2
2024021411;desktop;3;38;2
2024021411;desktop;5;17;3
2024021412;desktop;2;12;1
2024021412;desktop;5;71;1
2024021412;desktop;4;50;3
2024021412;desktop;1;13;2
2024021412;desktop;11;51;3
2024021412;desktop;2;35;3
2024021412;desktop;3;22;1
2024021412;desktop;3;36;3
2024021412;desktop;2;48;3
2024021413;phone;3;28;4
2024021413;desktop;2;30;1
2024021413;desktop;2;16;1
2024021413;phone;5;17;2
2024021414;desktop;5;90;1
2024021414;desktop;5;64;2
2024021415;desktop;5;29;1
2024021415;desktop;5;22;1
2024021502;phone;2;22;2
2024021505;phone;3;34;2
2024021506;phone;7;55;2
2024021507;phone;10;50;5
2024021507;desktop;10;73;5
2024021507;desktop;32;300;2
2024021507;desktop;6;82;1
2024021507;tablet;21;133;2
2024021507;desktop;4;10;1
2024021507;phone;3;23;3
2024021507;phone;4;24;2
2024021507;desktop;5;15;1
2024021508;phone;3;21;1
2024021508;desktop;4;25;3
2024021508;phone;2;5;2
2024021508;phone;5;25;3
2024021508;phone;2;20;1
2024021508;desktop;1;10;3
2024021508;phone;5;17;2
2024021508;phone;2;4;3
2024021508;tablet;3;32;5
2024021508;desktop;3;32;2
2024021508;phone;1;10;2
2024021508;desktop;1;4;3
2024021508;phone;4;21;2
2024021509;desktop;2;16;1
2024021509;phone;4;12;3
2024021509;phone;1;22;2
2024021509;desktop;2;36;2
2024021509;desktop;4;38;1
2024021509;desktop;4;14;5
2024021509;desktop;1;14;2
2024021509;desktop;3;14;3
2024021509;phone;5;36;2
2024021512;desktop;5;23;1
2024021513;desktop;5;48;1
2024021513;desktop;5;41;3
2024021604;phone;1;12;2
2024021608;phone;3;9;5
2024021608;phone;1;5;3
2024021608;phone;2;6;1
2024021608;phone;1;6;3
2024021608;desktop;5;13;2
2024021608;phone;4;43;1
2024021608;phone;4;11;3
2024021608;desktop;3;10;3
2024021608;desktop;5;43;5
2024021609;phone;1;6;3
2024021609;phone;1;14;5
2024021609;desktop;4;48;2
2024021609;desktop;5;36;3
2024021610;phone;2;6;2
2024021610;desktop;3;48;1
2024021610;desktop;4;29;2
2024021610;phone;2;7;5
2024021610;desktop;3;34;2
2024021610;phone;5;82;5
2024021610;phone;2;9;3
2024021610;desktop;3;53;5
2024021610;desktop;4;28;2
2024021610;tablet;4;17;1
2024021610;desktop;5;79;5
2024021611;desktop;5;47;2
2024021611;desktop;5;21;5
2024021611;desktop;2;9;3
2024021611;desktop;2;9;3
2024021612;desktop;2;15;2
2024021612;desktop;2;25;2
2024021612;desktop;3;10;2
2024021707;phone;4;39;5
2024021707;phone;1;8;2
2024021708;desktop;3;12;2
2024021708;phone;5;17;2
2024021708;desktop;4;35;1
2024021708;desktop;2;35;1
2024021708;phone;2;25;3
2024021708;phone;1;3;2
2024021708;phone;4;41;1
2024021708;phone;1;3;2
2024021708;phone;2;4;2
2024021708;desktop;3;18;2
2024021708;phone;5;42;5
2024021708;tablet;2;11;5
2024021708;tablet;4;70;1
2024021708;phone;1;3;2
2024021708;phone;4;8;3
2024021708;phone;5;18;2
2024021708;desktop;4;49;1
2024021709;phone;1;5;5
2024021709;desktop;4;46;3
2024021709;phone;3;9;3
2024021709;phone;1;5;3
2024021709;phone;3;8;3
2024021709;phone;5;56;3
2024021709;phone;3;20;2
2024021709;phone;2;9;5
2024021709;desktop;1;6;4
2024021709;desktop;5;19;2
2024021709;desktop;5;19;1
2024021709;phone;5;28;2
2024021711;desktop;3;17;5
2024021711;desktop;3;6;1
2024021723;desktop;3;64;3
2024021806;phone;1;3;2
2024021807;desktop;59;883;1
2024021807;desktop;1;2;3
2024021807;desktop;18;231;2
2024021807;phone;16;67;2
2024021807;desktop;4;19;5
2024021808;phone;7;20;2
2024021808;phone;6;41;2
2024021808;phone;11;56;2
2024021808;desktop;1;2;3
2024021808;phone;4;13;5
2024021808;desktop;14;170;2
2024021808;desktop;7;80;1
2024021808;phone;5;18;3
2024021808;phone;19;123;3
2024021808;desktop;4;14;1
2024021808;phone;28;108;2
2024021808;desktop;8;79;2
